=== RENO Simulation Log ===
Timestamp : 2026-05-26 21:25:40.466525
Base Seed : 32642
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1     20.00       10.00       0.00       0.000        0
   2     40.00       16.00       0.00       0.000        4
   3     40.02       14.00       0.00       0.000       30
   4     40.05       13.00       1.00       0.000       57
   5     20.02       12.00       2.00       0.025       84
   6     20.07       11.00       2.00       0.000       93
   7     20.12       11.00       3.00       0.000      102
   8     20.17       14.00       4.00       0.000      108
   9     10.09       13.00       4.00       0.050      114
  10     10.19       13.00       5.00       0.000      111
  11      5.09       12.00       6.00       0.100      108
  12      5.29       13.00       6.00       0.000      100
  13      5.48       10.00       7.00       0.000       95
  14      5.66       14.00       7.00       0.000       86
  15      2.83       13.00       7.00       0.200       77
  16      2.00       20.00       7.00       0.500       58
  17      2.50       22.00       7.00       0.000       38
  18      2.90       22.00       5.00       0.000       18
  19      3.24       20.00       0.00       0.000        0
  20      3.55        3.00       0.00       0.000        0
  21      3.83        3.00       0.00       0.000        0
  22      4.10        3.00       0.00       0.000        0
  23      4.34        4.00       0.00       0.000        0
  24      4.57        4.00       0.00       0.000        0
  25      4.79        4.00       0.00       0.000        0
  26      5.00        4.00       0.00       0.000        0
  27      5.20        4.00       0.00       0.000        0
  28      5.39        5.00       0.00       0.000        0
  29      2.70        4.00       0.00       0.200        0
  30      3.07        2.00       0.00       0.000        0
  31      3.39        3.00       0.00       0.000        0
  32      3.69        3.00       0.00       0.000        0
  33      3.96        3.00       0.00       0.000        0
  34      4.21        3.00       0.00       0.000        0
  35      4.45        4.00       0.00       0.000        0
  36      4.67        4.00       0.00       0.000        0
  37      2.34        3.00       0.00       0.250        0
  38      2.76        2.00       0.00       0.000        0
  39      3.13        2.00       0.00       0.000        0
  40      3.45        3.00       0.00       0.000        0
  41      3.74        3.00       0.00       0.000        0
  42      4.00        3.00       0.00       0.000        0
  43      4.25        4.00       0.00       0.000        0
  44      4.49        4.00       0.00       0.000        0
  45      4.71        4.00       0.00       0.000        0
  46      4.92        4.00       0.00       0.000        0
  47      5.13        4.00       0.00       0.000        0
  48      5.32        5.00       0.00       0.000        0
  49      5.51        5.00       0.00       0.000        0
  50      5.69        5.00       0.00       0.000        0
  51      5.87        5.00       0.00       0.000        0
  52      6.04        5.00       0.00       0.000        0
  53      6.20        6.00       0.00       0.000        0
  54      3.10        5.00       0.00       0.167        0
  55      3.42        3.00       0.00       0.000        0
  56      3.72        3.00       0.00       0.000        0
  57      3.99        3.00       0.00       0.000        0
  58      4.24        3.00       0.00       0.000        0
  59      4.47        4.00       0.00       0.000        0
  60      4.70        4.00       0.00       0.000        0
  61      4.91        4.00       0.00       0.000        0
  62      5.11        4.00       0.00       0.000        0
  63      5.31        5.00       0.00       0.000        0
  64      5.50        5.00       0.00       0.000        0
  65      5.68        5.00       0.00       0.000        0
  66      5.85        5.00       0.00       0.000        0
  67      6.03        5.00       0.00       0.000        0
  68      6.19        6.00       0.00       0.000        0
  69      6.35        6.00       0.00       0.000        0
  70      6.51        6.00       0.00       0.000        0
  71      6.66        6.00       0.00       0.000        0
  72      6.81        6.00       0.00       0.000        0
  73      6.96        6.00       0.00       0.000        0
  74      7.10        6.00       0.00       0.000        0
  75      7.25        7.00       0.00       0.000        0
  76      7.38        7.00       0.00       0.000        0
  77      7.52        7.00       0.00       0.000        0
  78      7.65        7.00       0.00       0.000        0
  79      7.78        7.00       0.00       0.000        0
  80      7.91        7.00       0.00       0.000        0
  81      8.04        7.00       0.00       0.000        0
  82      8.16        8.00       0.00       0.000        0
  83      4.08        7.00       0.00       0.125        0
  84      4.33        4.00       0.00       0.000        0
  85      4.56        4.00       0.00       0.000        0
  86      2.28        3.00       0.00       0.250        0
  87      2.72        2.00       0.00       0.000        0
  88      3.09        2.00       0.00       0.000        0
  89      2.00        2.00       0.00       0.333        0
  90      2.50        2.00       0.00       0.000        0
  91      2.90        2.00       0.00       0.000        0
  92      3.24        2.00       0.00       0.000        0
  93      3.55        3.00       0.00       0.000        0
  94      3.83        3.00       0.00       0.000        0
  95      4.10        3.00       0.00       0.000        0
  96      4.34        4.00       0.00       0.000        0
  97      4.57        4.00       0.00       0.000        0
  98      4.79        4.00       0.00       0.000        0
  99      2.39        3.00       0.00       0.250        0
 100      2.81        2.00       0.00       0.000        0
 101      3.17        2.00       0.00       0.000        0
 102      2.00        2.00       0.00       0.333        0
 103      2.50        2.00       0.00       0.000        0
 104      2.90        2.00       0.00       0.000        0
 105      3.24        2.00       0.00       0.000        0
 106      3.55        3.00       0.00       0.000        0
 107      3.83        3.00       0.00       0.000        0
 108      4.10        3.00       0.00       0.000        0
 109      4.34        4.00       0.00       0.000        0
 110      4.57        4.00       0.00       0.000        0
 111      4.79        4.00       0.00       0.000        0
 112      5.00        4.00       0.00       0.000        0
 113      5.20        4.00       0.00       0.000        0
 114      5.39        5.00       0.00       0.000        0
 115      5.58        5.00       0.00       0.000        0
 116      5.75        5.00       0.00       0.000        0
 117      5.93        5.00       0.00       0.000        0
 118      6.10        5.00       0.00       0.000        0
 119      6.26        6.00       0.00       0.000        0
 120      6.42        6.00       0.00       0.000        0
 121      6.58        6.00       0.00       0.000        0
 122      6.73        6.00       0.00       0.000        0
 123      6.88        6.00       0.00       0.000        0
 124      3.44        5.00       0.00       0.167        0
 125      3.73        3.00       0.00       0.000        0
 126      4.00        3.00       0.00       0.000        0
 127      4.25        3.00       0.00       0.000        0
 128      4.48        4.00       0.00       0.000        0
 129      4.71        4.00       0.00       0.000        0
 130      4.92        4.00       0.00       0.000        0
 131      5.12        4.00       0.00       0.000        0
 132      5.32        5.00       0.00       0.000        0
 133      5.51        5.00       0.00       0.000        0
 134      5.69        5.00       0.00       0.000        0
 135      5.86        5.00       0.00       0.000        0
 136      6.03        5.00       0.00       0.000        0
 137      6.20        6.00       0.00       0.000        0
 138      6.36        6.00       0.00       0.000        0
 139      6.52        6.00       0.00       0.000        0
 140      6.67        6.00       0.00       0.000        0
 141      6.82        6.00       0.00       0.000        0
 142      6.97        6.00       0.00       0.000        0
 143      3.48        5.00       0.00       0.167        0
 144      3.77        3.00       0.00       0.000        0
 145      4.04        3.00       0.00       0.000        0
 146      4.28        4.00       0.00       0.000        0
 147      4.52        4.00       0.00       0.000        0
 148      4.74        4.00       0.00       0.000        0
 149      4.95        4.00       0.00       0.000        0
 150      2.47        3.00       0.00       0.250        0
