=== DDPG Simulation Log ===
Timestamp : 2026-05-29 16:29:27.005196
Base Seed : 70551
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1      7.68        7.00       0.00       0.000        0
   2     13.33       13.00       0.00       0.000        0
   3     17.56       15.00       0.00       0.118        0
   4     19.83       19.00       0.00       0.000        0
   5     21.36       21.00       0.00       0.000        0
   6     22.69       21.00       0.00       0.045        0
   7     23.06       14.00       0.00       0.000        9
   8     14.62       13.00       0.00       0.000       10
   9     14.62       13.00       0.00       0.000       11
  10     14.34       14.00       0.00       0.071       10
  11     16.62       18.00       0.00       0.000        8
  12     19.23       18.00       0.00       0.000        9
  13     18.61       15.00       0.00       0.000       12
  14     15.45       16.00       0.00       0.000       11
  15     17.17       13.00       0.00       0.059       14
  16     13.88       15.00       0.00       0.000       12
  17     16.14       15.00       0.00       0.125       11
  18     17.55       16.00       0.00       0.000       12
  19     16.67       15.00       0.00       0.000       13
  20     15.46       17.00       0.00       0.067       10
  21     18.85       14.00       0.00       0.000       14
  22     13.89       11.00       1.00       0.077       15
  23     11.85       12.00       1.00       0.000       14
  24     12.49       12.00       1.00       0.000       14
  25     12.42       16.00       0.00       0.000       10
  26     17.78       22.00       0.00       0.059        4
  27     23.67       23.00       0.00       0.000        4
  28     22.97       23.00       0.00       0.000        3
  29     23.27       24.00       0.00       0.043        1
  30     25.05       22.00       0.00       0.040        3
  31     22.72       17.00       0.00       0.000        8
  32     17.48       16.00       0.00       0.059        8
  33     18.16       16.00       0.00       0.056        9
  34     17.80       15.00       0.00       0.000       11
  35     15.87       10.00       1.00       0.000       16
  36      9.52        9.00       1.00       0.111       15
  37     10.85       12.00       1.00       0.100       12
  38     14.28       20.00       0.00       0.000        6
  39     21.46       20.00       0.00       0.048        6
  40     21.07       21.00       0.00       0.048        5
  41     22.15       23.00       0.00       0.045        3
  42     24.00       27.00       0.00       0.000        0
  43     26.52       23.00       0.00       0.000        3
  44     22.82       23.00       0.00       0.000        2
  45     23.52       21.00       0.00       0.000        4
  46     21.48       19.00       0.00       0.000        6
  47     19.73       17.00       0.00       0.000        8
  48     17.99       16.00       0.00       0.059        8
  49     18.09       15.00       0.00       0.056       10
  50     16.81       19.00       0.00       0.000        7
  51     20.23       20.00       0.00       0.000        7
  52     20.49       14.00       0.00       0.000       13
  53     13.93       19.00       0.00       0.000        7
  54     20.55       20.00       0.00       0.050        6
  55     21.22       18.00       0.00       0.000        9
  56     18.27       16.00       0.00       0.056       10
  57     17.56       22.00       0.00       0.000        5
  58     22.74       19.00       0.00       0.000        8
  59     19.08       19.00       0.00       0.000        8
  60     19.63       19.00       0.00       0.000        8
  61     19.53       21.00       0.00       0.000        6
  62     21.58       21.00       0.00       0.095        4
  63     22.81       23.00       0.00       0.045        2
  64     24.14       22.00       0.00       0.000        4
  65     22.16       25.00       0.00       0.045        0
  66     25.96       25.00       0.00       0.000        0
  67     25.06       25.00       0.00       0.000        0
  68     25.18       24.00       0.00       0.040        0
  69     24.98       24.00       0.00       0.000        0
  70     24.45       24.00       0.00       0.000        0
  71     24.51       23.00       0.00       0.042        0
  72     24.31       24.00       0.00       0.000        0
  73     24.53       23.00       0.00       0.000        1
  74     23.54       18.00       0.00       0.000        6
  75     18.61       12.00       0.00       0.000       12
  76     12.62       12.00       1.00       0.000       12
  77     12.91       18.00       0.00       0.000        6
  78     20.14       17.00       0.00       0.050        8
  79     18.42       21.00       0.00       0.000        5
  80     21.92       21.00       0.00       0.000        5
  81     21.52       24.00       0.00       0.048        1
  82     25.27       23.00       0.00       0.040        2
  83     23.71       24.00       0.00       0.000        1
  84     24.38       21.00       0.00       0.000        4
  85     21.34       22.00       0.00       0.000        3
  86     22.77       18.00       0.00       0.045        6
  87     19.22       12.00       0.00       0.000       13
  88     12.31       12.00       1.00       0.000       13
  89     12.69       12.00       1.00       0.000       13
  90     12.65       10.00       1.00       0.000       15
  91     10.24       10.00       1.00       0.000       15
  92     10.67       11.00       1.00       0.000       14
  93     11.82       10.00       1.00       0.000       15
  94     10.38       10.00       1.00       0.000       15
  95     10.64       15.00       0.00       0.100        9
  96     18.49       15.00       0.00       0.056       11
  97     16.51       18.00       0.00       0.062        8
  98     19.91       19.00       0.00       0.000        8
  99     19.48       19.00       0.00       0.000        8
