=== CUBIC Simulation Log ===
Timestamp : 2026-05-29 16:49:36.198930
Base Seed : 81265
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1      7.00        9.00       0.00       0.100        0
   2     10.40        7.00       0.00       0.000        0
   3     13.20       10.00       0.00       0.000        0
   4     20.80       13.00       0.00       0.000        0
   5     35.60       20.00       0.00       0.000        0
   6     60.00       18.00       0.00       0.000       17
   7     42.00       12.00       1.00       0.017       64
   8     60.40       13.00       1.00       0.000       93
   9     63.20       11.00       2.00       0.000      142
  10     70.80       10.00       3.00       0.000      195
  11     85.60       10.00       4.00       0.000      255
  12     59.92       15.00       5.00       0.482      284
  13     41.94       16.00       5.00       0.729      284
  14     29.36       16.00       6.00       0.610      284
  15     20.55       18.00       6.00       0.483      281
  16     14.39       18.00       7.00       0.100      281
  17     20.95       13.00       8.00       0.000      282
  18     14.67       15.00       9.00       0.100      285
  19     21.35       15.00       9.00       0.000      284
  20     14.95       12.00      10.00       0.286      287
  21     10.46       12.00      11.00       0.143      287
  22      7.32       12.00      12.00       0.100      284
  23     10.86       11.00      13.00       0.000      280
  24     13.66       11.00      13.00       0.000      279
  25     21.26       10.00      14.00       0.000      282
  26     14.88       10.00      15.00       0.143      290
  27     10.42       17.00      16.00       0.286      283
  28      7.29       16.00      17.00       0.100      276
  29     10.82       17.00      17.00       0.000      266
  30      7.57       15.00      18.00       0.200      259
  31     11.22       17.00      19.00       0.000      249
  32      7.85        9.00      19.00       0.091      250
  33     11.62       10.00      20.00       0.000      247
  34      8.13       11.00      20.00       0.091      246
  35     12.02       18.00      20.00       0.000      236
  36     14.82       21.00      20.00       0.000      227
  37     10.37       20.00      19.00       0.071      220
  38      7.26       20.00      19.00       0.100      209
  39     10.77       18.00      19.00       0.000      198
  40      7.54       17.00      18.00       0.100      190
  41     11.17       16.00      17.00       0.000      181
  42     13.97       16.00      17.00       0.000      176
  43      9.78       18.00      17.00       0.077      170
  44     14.37       19.00      16.00       0.000      160
  45     17.17       16.00      15.00       0.000      158
  46     24.77       17.00      14.00       0.000      158
  47     39.57       19.00      13.00       0.000      163
  48     27.70       15.00      13.00       0.026      186
  49     39.97       16.00      12.00       0.000      197
  50     27.98       12.00      12.00       0.026      223
  51     19.59       12.00      11.00       0.074      236
  52     28.38       13.00      11.00       0.000      242
  53     19.87       12.00      11.00       0.036      257
  54     28.78       13.00      11.00       0.000      263
  55     31.58       13.00      10.00       0.000      278
  56     22.11       10.00      11.00       0.290      290
  57     15.47        9.00      11.00       0.591      290
  58     10.83       12.00      11.00       0.333      288
  59     15.87       14.00      12.00       0.000      284
  60     18.67       17.00      12.00       0.000      282
  61     26.27       21.00      13.00       0.000      279
  62     18.39       20.00      13.00       0.231      279
  63     26.67       20.00      13.00       0.000      277
  64     18.67       21.00      14.00       0.115      279
  65     27.07       18.00      14.00       0.000      279
  66     18.95       14.00      15.00       0.222      286
  67     13.27       17.00      15.00       0.222      283
  68     19.35       16.00      15.00       0.000      280
  69     22.15       18.00      16.00       0.000      281
  70     15.51       18.00      16.00       0.136      282
  71     22.55       22.00      16.00       0.000      275
  72     25.35       19.00      16.00       0.000      278
  73     17.75       19.00      16.00       0.120      281
  74     25.75       14.00      15.00       0.000      284
  75     18.03       14.00      15.00       0.400      285
  76     12.62       10.00      15.00       0.167      290
  77      8.83       10.00      16.00       0.167      290
  78     13.02       10.00      16.00       0.000      288
  79      9.11       10.00      17.00       0.077      290
  80      6.38       11.00      17.00       0.111      287
  81      9.51       12.00      18.00       0.000      281
  82     12.31       19.00      18.00       0.000      271
  83     19.91       19.00      18.00       0.000      264
  84     13.94       18.00      18.00       0.053      264
  85      9.76       19.00      18.00       0.077      257
  86     14.34       20.00      17.00       0.000      246
  87     10.04       15.00      17.00       0.071      244
  88      7.03       15.00      18.00       0.100      238
  89     10.44       17.00      17.00       0.000      228
  90     13.24       17.00      18.00       0.000      221
  91     20.84       23.00      18.00       0.000      211
  92     35.64       20.00      17.00       0.000      211
  93     60.04       20.00      17.00       0.000      226
  94     96.44       24.00      16.00       0.000      262
  95     67.51       20.00      15.00       0.604      280
  96     47.25       18.00      14.00       0.701      282
  97     33.08       21.00      13.00       0.617      279
  98     23.15       22.00      13.00       0.364      278
  99     16.21       20.00      12.00       0.043      280
 100     23.55       20.00      11.00       0.000      276
 101     26.35       16.00      10.00       0.000      283
 102     18.45       13.00      10.00       0.346      287
 103     12.91       15.00      11.00       0.278      285
 104     18.85       12.00      11.00       0.000      285
 105     13.19       11.00      12.00       0.222      288
 106      9.24       16.00      12.00       0.077      284
 107     13.59       16.00      13.00       0.000      277
 108     16.39       14.00      14.00       0.000      276
 109     23.99       21.00      15.00       0.000      271
 110     16.80       20.00      15.00       0.043      273
 111     11.76       16.00      16.00       0.062      272
 112     17.20       17.00      16.00       0.000      266
 113     20.00       17.00      16.00       0.000      266
 114     14.00        9.00      17.00       0.053      275
 115     20.40       10.00      17.00       0.000      278
 116     23.20       10.00      18.00       0.000      288
 117     16.24       11.00      18.00       0.478      289
 118     11.37       14.00      18.00       0.312      286
 119     16.64       14.00      19.00       0.000      283
 120     11.65       17.00      19.00       0.062      281
 121     17.04       18.00      19.00       0.000      274
 122     19.84       16.00      19.00       0.000      275
 123     27.44       20.00      18.00       0.000      274
 124     19.21       20.00      18.00       0.037      280
 125     27.84       19.00      17.00       0.000      280
 126     19.49       19.00      17.00       0.259      281
 127     28.24       19.00      17.00       0.000      281
 128     19.77       13.00      17.00       0.321      287
 129     13.84       18.00      17.00       0.316      282
 130     20.17       15.00      17.00       0.000      280
 131     22.97       15.00      17.00       0.000      285
 132     16.08       18.00      17.00       0.318      282
 133     23.37       17.00      17.00       0.000      281
 134     16.36       17.00      16.00       0.174      283
 135     23.77       17.00      16.00       0.000      282
 136     16.64       16.00      16.00       0.261      283
 137     24.17       19.00      15.00       0.000      280
 138     16.92       19.00      15.00       0.167      281
 139     11.84       13.00      15.00       0.062      283
 140     17.32       20.00      16.00       0.000      274
 141     12.12       27.00      15.00       0.059      263
 142     17.72       24.00      15.00       0.000      251
 143     20.52       27.00      15.00       0.000      241
 144     28.12       26.00      14.00       0.000      235
 145     19.68       20.00      14.00       0.036      242
 146     28.52       13.00      14.00       0.000      248
 147     31.32       19.00      14.00       0.000      257
 148     21.92       15.00      14.00       0.032      272
 149     15.34       15.00      14.00       0.048      277
 150     22.32       19.00      14.00       0.000      273
