=== DDPG_NO_AOI Simulation Log ===
Timestamp : 2026-05-29 16:49:36.197930
Base Seed : 81265
======================================================================

Step    CWND    Throughput    AoI     Loss Rate    Queue
----------------------------------------------------------------------
   1      6.92        6.00       0.00       0.000        0
   2     10.90        9.00       0.00       0.100        0
   3     14.11       14.00       0.00       0.000        0
   4     17.19       17.00       0.00       0.000        0
   5     19.30       19.00       0.00       0.000        0
   6     20.55       19.00       0.00       0.050        0
   7     20.94       18.00       0.00       0.000        2
   8     19.09       17.00       0.00       0.000        4
   9     17.97       18.00       0.00       0.059        2
  10     20.24       18.00       0.00       0.050        3
  11     19.64       19.00       0.00       0.000        3
  12     19.89       18.00       0.00       0.053        3
  13     19.74       16.00       0.00       0.000        6
  14     16.38        9.00       0.00       0.062       12
  15      9.84       10.00       1.00       0.000       11
  16     10.90       10.00       1.00       0.000       11
  17     10.78       15.00       0.00       0.000        6
  18     16.53       17.00       0.00       0.062        4
  19     19.11       20.00       0.00       0.053        2
  20     21.40       20.00       0.00       0.048        2
  21     21.11       23.00       0.00       0.000        0
  22     22.96       22.00       0.00       0.000        0
  23     22.10       22.00       0.00       0.000        0
  24     22.20       22.00       0.00       0.000        0
  25     22.19       20.00       0.00       0.091        0
  26     21.73       20.00       0.00       0.048        0
  27     21.42       17.00       0.00       0.048        3
  28     18.50       15.00       0.00       0.000        6
  29     15.61       15.00       0.00       0.000        6
  30     16.06       10.00       0.00       0.000       12
  31     10.01        9.00       1.00       0.100       12
  32     10.96       10.00       1.00       0.000       12
  33     10.54       10.00       1.00       0.000       12
  34     10.59       14.00       0.00       0.100        7
  35     16.49       15.00       0.00       0.000        8
  36     15.28       16.00       0.00       0.067        6
  37     17.94       17.00       0.00       0.000        6
  38     17.62       17.00       0.00       0.000        6
  39     17.67       10.00       0.00       0.059       12
  40     10.46       11.00       1.00       0.000       11
  41     11.60       11.00       1.00       0.000       11
  42     11.47       11.00       1.00       0.000       11
  43     11.48       14.00       0.00       0.000        8
  44     14.97       14.00       0.00       0.000        8
  45     14.49       14.00       0.00       0.000        8
  46     14.56       15.00       0.00       0.071        6
  47     17.20       21.00       0.00       0.000        2
  48     21.62       17.00       0.00       0.143        3
  49     19.40       22.00       0.00       0.000        0
  50     22.47       21.00       0.00       0.045        0
  51     21.94       20.00       0.00       0.048        0
  52     21.39       19.00       0.00       0.048        1
  53     20.61       18.00       0.00       0.000        3
  54     18.88       21.00       0.00       0.000        0
  55     21.88       20.00       0.00       0.048        0
  56     21.40       21.00       0.00       0.000        0
  57     21.61       21.00       0.00       0.000        0
  58     21.59       21.00       0.00       0.000        0
  59     21.59       16.00       0.00       0.000        5
  60     16.31       17.00       0.00       0.000        4
  61     18.39       12.00       0.00       0.000       10
  62     11.76       15.00       0.00       0.000        6
  63     16.47       15.00       0.00       0.000        7
  64     15.60       15.00       0.00       0.000        7
  65     15.73       14.00       0.00       0.000        8
  66     14.39       13.00       0.00       0.000        9
  67     13.34       10.00       0.00       0.000       12
  68     10.31       10.00       1.00       0.000       12
  69     10.61       16.00       0.00       0.000        6
  70     17.35       18.00       0.00       0.000        5
  71     18.82       21.00       0.00       0.056        1
  72     22.27       23.00       0.00       0.000        0
  73     22.83       21.00       0.00       0.045        0
  74     21.90       21.00       0.00       0.000        0
  75     21.56       21.00       0.00       0.000        0
  76     21.60       19.00       0.00       0.048        1
  77     20.56       13.00       0.00       0.000        8
  78     12.85       15.00       0.00       0.083        4
  79     17.99       16.00       0.00       0.000        5
  80     16.96       18.00       0.00       0.062        2
  81     20.34       21.00       0.00       0.050        0
  82     22.22       22.00       0.00       0.000        0
  83     22.18       22.00       0.00       0.000        0
  84     22.19       22.00       0.00       0.000        0
  85     22.19       22.00       0.00       0.000        0
  86     22.19       22.00       0.00       0.000        0
  87     22.19       19.00       0.00       0.000        3
  88     19.40       22.00       0.00       0.000        0
  89     22.47       21.00       0.00       0.000        1
  90     21.32       16.00       0.00       0.000        6
  91     16.10       16.00       0.00       0.000        6
  92     16.99       15.00       0.00       0.000        7
  93     15.52       14.00       0.00       0.000        8
  94     14.42       14.00       0.00       0.000        8
  95     14.57       14.00       0.00       0.000        8
  96     14.55       14.00       0.00       0.000        8
  97     14.55       14.00       0.00       0.000        8
  98     14.55        9.00       0.00       0.071       12
  99     10.14       10.00       1.00       0.000       12
 100     10.63       14.00       0.00       0.000        8
 101     15.04       14.00       0.00       0.000        9
 102     14.18       20.00       0.00       0.000        3
 103     20.86       21.00       0.00       0.000        2
 104     21.32       20.00       0.00       0.048        2
 105     21.12       15.00       0.00       0.048        7
 106     15.61       19.00       0.00       0.000        3
 107     20.19       16.00       0.00       0.000        7
 108     16.03       15.00       0.00       0.000        8
 109     15.34       15.00       0.00       0.000        8
 110     15.44       15.00       0.00       0.000        8
 111     15.43       16.00       0.00       0.000        7
 112     16.78       12.00       0.00       0.062       10
 113     12.68       14.00       0.00       0.000        8
 114     14.82       14.00       0.00       0.000        8
 115     14.51       20.00       0.00       0.000        2
 116     21.06       20.00       0.00       0.000        3
 117     20.44       20.00       0.00       0.000        3
 118     20.50       19.00       0.00       0.000        4
 119     19.48       19.00       0.00       0.000        4
 120     19.65       13.00       0.00       0.000       10
 121     12.43       10.00       1.00       0.000       12
 122     10.40       10.00       1.00       0.000       12
 123     10.61       10.00       1.00       0.000       12
 124     10.58       13.00       0.00       0.000        9
 125     13.86       18.00       0.00       0.000        4
